grid_country_name	gtd_country_name
Iraq	Iraq
Syrian Arab Republic	Syria
Yemen	Yemen
Libya	Libya
Egypt	Egypt
Saudi Arabia	Saudi Arabia
Lebanon	Lebanon
Jordan	Jordan
Israel	Israel
Palestinian Territory, Occupied	West Bank and Gaza Strip
TÃ¼rkiye	Turkey
Turkey	Turkey
Iran (Islamic Republic of)	Iran
Iran	Iran
Bahrain	Bahrain
Kuwait	Kuwait
United Arab Emirates	United Arab Emirates
Qatar	Qatar
State of Palestine	West Bank and Gaza Strip
West Bank and Gaza Strip	West Bank and Gaza Strip
Republic of TÃ¼rkiye	Turkey
Republic of Turkey	Turkey
Kingdom of Saudi Arabia	Saudi Arabia
Hashemite Kingdom of Jordan	Jordan
Republic of Iraq	Iraq
Republic of Yemen	Yemen
State of Kuwait	Kuwait
State of Qatar	Qatar
